text_de_ori,text,fr,it,drawing_number,canonical_id,canonical_reference,source_tex,candidate_origin,category,fr_svg_status,it_svg_status,decision,reviewer,comment
/Div.,/Div.,,,43,dr_fd06100ac99c,canonical/drawings/dr_fd06100ac99c,43.de.tex,previously_marked_to_translate,pgfplots_ylabel,fallback_de,fallback_de,,,
/Div.,/Div.,,,52,dr_0e455aa883b2,canonical/drawings/dr_0e455aa883b2,52.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
/Div.,/Div.,,,53,dr_146a01eb3de2,canonical/drawings/dr_146a01eb3de2,53.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
/Div.,/Div.,,,55,dr_f59f1597f9d9,canonical/drawings/dr_f59f1597f9d9,55.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
/Div.,/Div.,,,56,dr_9db7520bd29c,canonical/drawings/dr_9db7520bd29c,56.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
/Div.,/Div.,,,78,dr_e10032c48423,canonical/drawings/dr_e10032c48423,78.de.tex,previously_marked_to_translate,pgfplots_ylabel,fallback_de,fallback_de,,,
/Div.,/Div.,,,108,dr_044d7b6f0c93,canonical/drawings/dr_044d7b6f0c93,108.de.tex,previously_marked_to_translate,pgfplots_ylabel,fallback_de,fallback_de,,,
/Div.,/Div.,,,490,dr_fbb9743f9445,canonical/drawings/dr_fbb9743f9445,490.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
0 dB,0 dB,,,38,dr_9e96ab1c4f2e,canonical/drawings/dr_9e96ab1c4f2e,38.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
0 dB,0 dB,,,880,dr_06d4aa56068c,canonical/drawings/dr_06d4aa56068c,880.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
1 kHz/Div.,1 kHz/Div.,,,38,dr_9e96ab1c4f2e,canonical/drawings/dr_9e96ab1c4f2e,38.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
1 kHz/Div.,1 kHz/Div.,,,880,dr_06d4aa56068c,canonical/drawings/dr_06d4aa56068c,880.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
1.ZF,1.ZF,1.FI,1.IF,82,dr_5683e16afdcc,canonical/drawings/dr_5683e16afdcc,82.de.tex,previously_marked_to_translate,circuitikz_bare_label,fallback_de,fallback_de,to_be_translated,,
